Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
ANORA,Sean Baker,139,10,17:50,2024-12-20,Cines Princesa
ANORA,Sean Baker,139,10,20:25,2024-12-20,Cines Princesa
ANSELM,Win Wenders,94,10,16:00,2024-12-20,Cines Princesa
BIRD,Andrea Arnold,118,03,16:00,2024-12-20,Cines Princesa
BIRD,Andrea Arnold,118,03,18:15,2024-12-20,Cines Princesa
CASA EN LLAMAS,Dani De La Orden,110,08,16:00,2024-12-20,Cines Princesa
CÓNCLAVE,Edward Berger,120,04,16:00,2024-12-20,Cines Princesa
CÓNCLAVE,Edward Berger,120,09,18:00,2024-12-20,Cines Princesa
CÓNCLAVE,Edward Berger,120,09,20:15,2024-12-20,Cines Princesa
CÓNCLAVE,Edward Berger,120,09,22:30,2024-12-20,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,11,16:00,2024-12-20,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,04,18:10,2024-12-20,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,11,19:00,2024-12-20,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,04,20:35,2024-12-20,Cines Princesa
EMILIA PÉREZ,Jacques Audiard,132,06,22:00,2024-12-20,Cines Princesa
GLADIATOR II,Ridley Scott,147,03,20:35,2024-12-20,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,01,16:00,2024-12-20,Cines Princesa
HERE (AQUÍ),Robert Zemeckis,103,01,18:00,2024-12-20,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,07,18:10,2024-12-20,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,07,20:20,2024-12-20,Cines Princesa
JURADO Nº 2,Clint Eastwood,117,07,22:30,2024-12-20,Cines Princesa
LA ESTRELLA AZUL,Javier Macipe,128,08,22:15,2024-12-20,Cines Princesa
LA HABITACIÓN DE AL LADO (THE ROOM NEXT DOOR),Pedro Almodóvar,106,08,20:10,2024-12-20,Cines Princesa
LA SUSTANCIA,Coralie Fargeat,141,02,20:10,2024-12-20,Cines Princesa
LA SUSTANCIA,Coralie Fargeat,141,01,22:00,2024-12-20,Cines Princesa
MUFASA: EL REY LEÓN,Barry Jenkins,120,02,16:00,2024-12-20,Cines Princesa
MUFASA: EL REY LEÓN,Barry Jenkins,120,05,18:00,2024-12-20,Cines Princesa
MUFASA: EL REY LEÓN,Barry Jenkins,120,05,20:15,2024-12-20,Cines Princesa
MUFASA: EL REY LEÓN,Barry Jenkins,120,05,22:30,2024-12-20,Cines Princesa
POR DONDE PASA EL SILENCIO,Sandra Romero,99,09,16:00,2024-12-20,Cines Princesa
SEGUNDO PREMIO,"Isaki Lacuesta, Pol Rodríguez",110,08,18:05,2024-12-20,Cines Princesa
SOY NEVENKA,Icíar Bollaín,112,07,16:00,2024-12-20,Cines Princesa
WICKED,Jon M. Chu,160,06,16:00,2024-12-20,Cines Princesa
WICKED,Jon M. Chu,160,06,19:00,2024-12-20,Cines Princesa
WICKED,Jon M. Chu,160,11,21:35,2024-12-20,Cines Princesa
¿ES EL ENEMIGO?,Alexis Morante,99,05,16:00,2024-12-20,Cines Princesa
¿ES EL ENEMIGO?,Alexis Morante,99,02,18:15,2024-12-20,Cines Princesa
¿ES EL ENEMIGO?,Alexis Morante,99,01,20:00,2024-12-20,Cines Princesa
