Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
"Madrid, ext.",,93,01,22:00,2025-10-05,Golem Madrid
"Dolores Ibárruri, Pasionaria",,80,04,18:10,2025-10-05,Golem Madrid
El cautivo,,133,03,19:30,2025-10-05,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,17:00,2025-10-05,Golem Madrid
Extraño río (VOSE),,103,04,16:10,2025-10-05,Golem Madrid
On Falling (VOSE),,104,05,22:15,2025-10-05,Golem Madrid
On Falling (VOSE),,104,02,17:00,2025-10-05,Golem Madrid
Extraño río (VOSE),,103,05,20:10,2025-10-05,Golem Madrid
Romería,,111,03,22:00,2025-10-05,Golem Madrid
Una batalla tras otra (VOSE),,161,05,17:00,2025-10-05,Golem Madrid
Una batalla tras otra (VOSE),,161,04,20:30,2025-10-05,Golem Madrid
Maspalomas (VOSE),,115,02,22:00,2025-10-05,Golem Madrid
Maspalomas (VOSE),,115,02,19:30,2025-10-05,Golem Madrid
El cautivo,,133,03,16:15,2025-10-05,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,19:30,2025-10-05,Golem Madrid
"Dolores Ibárruri, Pasionaria",,80,02,18:10,2025-10-06,Golem Madrid
Maspalomas (VOSE),,115,04,19:30,2025-10-06,Golem Madrid
Una batalla tras otra (VOSE),,161,05,17:00,2025-10-06,Golem Madrid
Extraño río (VOSE),,103,05,20:10,2025-10-06,Golem Madrid
Extraño río (VOSE),,103,02,16:10,2025-10-06,Golem Madrid
On Falling (VOSE),,104,04,17:00,2025-10-06,Golem Madrid
Mendi Tour: The Asgard Project + Andrea: An Unpaved Route,,110,02,20:00,2025-10-06,Golem Madrid
Romería,,111,03,22:00,2025-10-06,Golem Madrid
Maspalomas (VOSE),,115,04,22:00,2025-10-06,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,17:00,2025-10-06,Golem Madrid
El cautivo,,133,03,16:15,2025-10-06,Golem Madrid
"Madrid, ext.",,93,01,22:00,2025-10-06,Golem Madrid
El cautivo,,133,03,19:30,2025-10-06,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,19:30,2025-10-06,Golem Madrid
On Falling (VOSE),,104,05,22:15,2025-10-06,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,19:30,2025-10-07,Golem Madrid
On Falling (VOSE),,104,05,22:15,2025-10-07,Golem Madrid
Maspalomas (VOSE),,115,04,22:00,2025-10-07,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,17:00,2025-10-07,Golem Madrid
Extraño río (VOSE),,103,02,16:10,2025-10-07,Golem Madrid
Extraño río (VOSE),,103,05,20:10,2025-10-07,Golem Madrid
"Madrid, ext.",,93,01,22:00,2025-10-07,Golem Madrid
On Falling (VOSE),,104,04,17:00,2025-10-07,Golem Madrid
"Dolores Ibárruri, Pasionaria",,80,02,18:10,2025-10-07,Golem Madrid
Mendi Tour: Jamie + Ashima (VOSE),,104,02,20:00,2025-10-07,Golem Madrid
El cautivo,,133,03,16:15,2025-10-07,Golem Madrid
El cautivo,,133,03,19:30,2025-10-07,Golem Madrid
Romería,,111,03,22:00,2025-10-07,Golem Madrid
Maspalomas (VOSE),,115,04,19:30,2025-10-07,Golem Madrid
Una batalla tras otra (VOSE),,161,05,17:00,2025-10-07,Golem Madrid
On Falling (VOSE),,104,04,17:00,2025-10-08,Golem Madrid
El cautivo,,133,03,16:15,2025-10-08,Golem Madrid
Romería,,111,03,22:00,2025-10-08,Golem Madrid
"Madrid, ext.",,93,01,22:00,2025-10-08,Golem Madrid
El cautivo,,133,03,19:30,2025-10-08,Golem Madrid
Extraño río (VOSE),,103,02,16:10,2025-10-08,Golem Madrid
Maspalomas (VOSE),,115,04,22:00,2025-10-08,Golem Madrid
Mendi Tour: L'età sperimentale + The Last Expedition (VOSE),,112,02,20:00,2025-10-08,Golem Madrid
Una batalla tras otra (VOSE),,161,05,17:00,2025-10-08,Golem Madrid
Extraño río (VOSE),,103,05,20:10,2025-10-08,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,17:00,2025-10-08,Golem Madrid
On Falling (VOSE),,104,05,22:15,2025-10-08,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,19:30,2025-10-08,Golem Madrid
"Dolores Ibárruri, Pasionaria",,80,02,18:10,2025-10-08,Golem Madrid
Maspalomas (VOSE),,115,04,19:30,2025-10-08,Golem Madrid
Romería,,111,03,22:00,2025-10-09,Golem Madrid
"Madrid, ext.",,93,01,22:00,2025-10-09,Golem Madrid
Extraño río (VOSE),,103,05,20:10,2025-10-09,Golem Madrid
Extraño río (VOSE),,103,02,16:10,2025-10-09,Golem Madrid
"Mendi Tour: Peligro, no asomarse + Red Rock Revolution + Of a Lifetime",,100,02,20:00,2025-10-09,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,17:00,2025-10-09,Golem Madrid
"Dolores Ibárruri, Pasionaria",,80,02,18:10,2025-10-09,Golem Madrid
Una batalla tras otra (VOSE),,161,05,17:00,2025-10-09,Golem Madrid
El cautivo,,133,03,16:15,2025-10-09,Golem Madrid
El cautivo,,133,03,19:30,2025-10-09,Golem Madrid
On Falling (VOSE),,104,04,17:00,2025-10-09,Golem Madrid
Maspalomas (VOSE),,115,04,22:00,2025-10-09,Golem Madrid
Maspalomas (VOSE),,115,04,19:30,2025-10-09,Golem Madrid
On Falling (VOSE),,104,05,22:15,2025-10-09,Golem Madrid
Münter y el amor de Kandinsky (VOSE),,126,01,19:30,2025-10-09,Golem Madrid
