Pelicula,Sala,Horario,Fecha,Cine
La tarta del presidente (VOSE),01,21:45,2026-02-15,Golem Madrid
Hamnet (VOSE),02,22:00,2026-02-15,Golem Madrid
No hay otra opción (VOSE),05,21:45,2026-02-15,Golem Madrid
Father Mother Sister Brother (VOSE),03,22:15,2026-02-15,Golem Madrid
No hay otra opción (VOSE),05,19:00,2026-02-16,Golem Madrid
Hamnet (VOSE),02,17:00,2026-02-16,Golem Madrid
La tarta del presidente (VOSE),02,22:00,2026-02-16,Golem Madrid
La misteriosa mirada del flamenco,03,18:15,2026-02-16,Golem Madrid
Rental Family (Familia de alquiler) (VOSE),03,16:10,2026-02-16,Golem Madrid
Tres adioses (VOSE),04,21:30,2026-02-16,Golem Madrid
No hay otra opción (VOSE),05,21:45,2026-02-16,Golem Madrid
Tranvía a la Malvarrosa,01,21:30,2026-02-16,Golem Madrid
"¡Ay, Carmela!",01,16:30,2026-02-16,Golem Madrid
Belle Epoque,01,19:00,2026-02-16,Golem Madrid
Tres adioses (VOSE),04,16:30,2026-02-16,Golem Madrid
Tres adioses (VOSE),04,19:00,2026-02-16,Golem Madrid
Father Mother Sister Brother (VOSE),03,22:15,2026-02-16,Golem Madrid
La tarta del presidente (VOSE),03,20:20,2026-02-16,Golem Madrid
La tarta del presidente (VOSE),05,17:00,2026-02-16,Golem Madrid
Hamnet (VOSE),02,19:30,2026-02-16,Golem Madrid
Tres adioses (VOSE),04,19:00,2026-02-17,Golem Madrid
Hamnet (VOSE),02,19:30,2026-02-17,Golem Madrid
La tarta del presidente (VOSE),02,22:00,2026-02-17,Golem Madrid
Tres adioses (VOSE),04,21:30,2026-02-17,Golem Madrid
La tarta del presidente (VOSE),05,17:00,2026-02-17,Golem Madrid
Belle Epoque,01,21:30,2026-02-17,Golem Madrid
La tarta del presidente (VOSE),03,20:20,2026-02-17,Golem Madrid
Tres adioses (VOSE),04,16:30,2026-02-17,Golem Madrid
No hay otra opción (VOSE),05,21:45,2026-02-17,Golem Madrid
La misteriosa mirada del flamenco,03,18:15,2026-02-17,Golem Madrid
Rental Family (Familia de alquiler) (VOSE),03,16:10,2026-02-17,Golem Madrid
Tranvía a la Malvarrosa,01,16:30,2026-02-17,Golem Madrid
"¡Ay, Carmela!",01,19:00,2026-02-17,Golem Madrid
Hamnet (VOSE),02,17:00,2026-02-17,Golem Madrid
Father Mother Sister Brother (VOSE),03,22:15,2026-02-17,Golem Madrid
No hay otra opción (VOSE),05,19:00,2026-02-17,Golem Madrid
