Pelicula,Sala,Horario,Fecha,Cine,Pelicula_URL,Titulo_Original,Director,Duración,Nacionalidad,Poster_URL
Rental Family (Familia de alquiler) (VOSE),03,16:10,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Rental-Family-(Familia-de-alquiler)-(V.O.S.E.),Rental Family,Hikari,109 min.,USA,https://golem.es/golem/carteles/2025/December/hd-1765977366.jpg
La tarta del presidente (VOSE),03,20:20,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/La-tarta-del-presidente-(V.O.S.E.),Mamlaket Al-Qasab,Hasan Hadi,105 min.,"Irak, EUA",https://golem.es/golem/carteles/2026/January/hd-1767954377.jpg
La tarta del presidente (VOSE),05,17:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/La-tarta-del-presidente-(V.O.S.E.),Mamlaket Al-Qasab,Hasan Hadi,105 min.,"Irak, EUA",https://golem.es/golem/carteles/2026/January/hd-1767954377.jpg
Tres adioses (VOSE),04,19:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Tres-adioses-(V.O.S.E.),Tre Ciotole,Isabel Coixet,122 min.,"Italia, EspaÃ±a",https://golem.es/golem/carteles/2026/January/hd-1767806452.jpg
Belle Epoque,01,19:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Belle-Epoque,,,,,
La misteriosa mirada del flamenco,03,18:15,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/La-misteriosa-mirada-del-flamenco,La misteriosa mirada del flamenco,Diego Céspedes,108 min.,CHILE,https://golem.es/golem/carteles/2025/December/hd-1765366551.jpg
No hay otra opción (VOSE),05,21:45,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/No-hay-otra-opcion-(V.O.S.E.),,,,,
Hamnet (VOSE),02,19:30,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Hamnet-(V.O.S.E.),Hamnet,Chloé Zhao,125 min.,USA,https://golem.es/golem/carteles/2026/January/hd-1769672324-12844.jpg
Tres adioses (VOSE),04,21:30,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Tres-adioses-(V.O.S.E.),Tre Ciotole,Isabel Coixet,122 min.,"Italia, EspaÃ±a",https://golem.es/golem/carteles/2026/January/hd-1767806452.jpg
Tres adioses (VOSE),04,16:30,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Tres-adioses-(V.O.S.E.),Tre Ciotole,Isabel Coixet,122 min.,"Italia, EspaÃ±a",https://golem.es/golem/carteles/2026/January/hd-1767806452.jpg
No hay otra opción (VOSE),05,19:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/No-hay-otra-opcion-(V.O.S.E.),,,,,
Tranvía a la Malvarrosa,01,21:30,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Tranvia-a-la-Malvarrosa,,,,,
"¡Ay, Carmela!",01,16:30,2026-02-16,Golem Madrid,,,,,,
La tarta del presidente (VOSE),02,22:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/La-tarta-del-presidente-(V.O.S.E.),Mamlaket Al-Qasab,Hasan Hadi,105 min.,"Irak, EUA",https://golem.es/golem/carteles/2026/January/hd-1767954377.jpg
Hamnet (VOSE),02,17:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Hamnet-(V.O.S.E.),Hamnet,Chloé Zhao,125 min.,USA,https://golem.es/golem/carteles/2026/January/hd-1769672324-12844.jpg
Father Mother Sister Brother (VOSE),03,22:15,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Father-Mother-Sister-Brother-(V.O.S.E.),Father Mother Sister Brother,Jim Jarmusch,110 min.,USA,https://golem.es/golem/carteles/2025/November/hd-1763980319.jpg
Tres adioses (VOSE),04,21:30,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Tres-adioses-(V.O.S.E.),Tre Ciotole,Isabel Coixet,122 min.,"Italia, EspaÃ±a",https://golem.es/golem/carteles/2026/January/hd-1767806452.jpg
La misteriosa mirada del flamenco,03,18:15,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/La-misteriosa-mirada-del-flamenco,La misteriosa mirada del flamenco,Diego Céspedes,108 min.,CHILE,https://golem.es/golem/carteles/2025/December/hd-1765366551.jpg
La tarta del presidente (VOSE),02,22:00,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/La-tarta-del-presidente-(V.O.S.E.),Mamlaket Al-Qasab,Hasan Hadi,105 min.,"Irak, EUA",https://golem.es/golem/carteles/2026/January/hd-1767954377.jpg
No hay otra opción (VOSE),05,19:00,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/No-hay-otra-opcion-(V.O.S.E.),,,,,
Belle Epoque,01,21:30,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Belle-Epoque,,,,,
No hay otra opción (VOSE),05,21:45,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/No-hay-otra-opcion-(V.O.S.E.),,,,,
Hamnet (VOSE),02,19:30,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Hamnet-(V.O.S.E.),Hamnet,Chloé Zhao,125 min.,USA,https://golem.es/golem/carteles/2026/January/hd-1769672324-12844.jpg
Tranvía a la Malvarrosa,01,16:30,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Tranvia-a-la-Malvarrosa,,,,,
Tres adioses (VOSE),04,19:00,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Tres-adioses-(V.O.S.E.),Tre Ciotole,Isabel Coixet,122 min.,"Italia, EspaÃ±a",https://golem.es/golem/carteles/2026/January/hd-1767806452.jpg
"¡Ay, Carmela!",01,19:00,2026-02-17,Golem Madrid,,,,,,
Rental Family (Familia de alquiler) (VOSE),03,16:10,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Rental-Family-(Familia-de-alquiler)-(V.O.S.E.),Rental Family,Hikari,109 min.,USA,https://golem.es/golem/carteles/2025/December/hd-1765977366.jpg
La tarta del presidente (VOSE),05,17:00,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/La-tarta-del-presidente-(V.O.S.E.),Mamlaket Al-Qasab,Hasan Hadi,105 min.,"Irak, EUA",https://golem.es/golem/carteles/2026/January/hd-1767954377.jpg
Hamnet (VOSE),02,17:00,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Hamnet-(V.O.S.E.),Hamnet,Chloé Zhao,125 min.,USA,https://golem.es/golem/carteles/2026/January/hd-1769672324-12844.jpg
Tres adioses (VOSE),04,16:30,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Tres-adioses-(V.O.S.E.),Tre Ciotole,Isabel Coixet,122 min.,"Italia, EspaÃ±a",https://golem.es/golem/carteles/2026/January/hd-1767806452.jpg
La tarta del presidente (VOSE),03,20:20,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/La-tarta-del-presidente-(V.O.S.E.),Mamlaket Al-Qasab,Hasan Hadi,105 min.,"Irak, EUA",https://golem.es/golem/carteles/2026/January/hd-1767954377.jpg
Father Mother Sister Brother (VOSE),03,22:15,2026-02-17,Golem Madrid,https://golem.es/golem/pelicula/Father-Mother-Sister-Brother-(V.O.S.E.),Father Mother Sister Brother,Jim Jarmusch,110 min.,USA,https://golem.es/golem/carteles/2025/November/hd-1763980319.jpg
