Pelicula,Sala,Horario,Fecha,Cine,Pelicula_URL,Titulo_Original,Director,Duración,Nacionalidad,Reparto,Sinopsis,Trailer_URL,Poster_URL
La tarta del presidente (VOSE),02,22:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/La-tarta-del-presidente-(V.O.S.E.),Mamlaket Al-Qasab,Hasan Hadi,105 min.,"Irak, EUA","Banin Ahmad Nayef, Sajad Mohamad Qasem, Waheed Thabet Khreibat","Irak, años noventa. La pequeña Lamia recibe la misión de preparar una tarta con motivo del cumpleaños del presidente Sadam Huseín. Acompañada por su amigo Saeed y con su gallo Hindi a cuestas, recorre Bagdad en busca de los ingredientes, viviendo una serie de peripecias que alterarán por completo su vida cotidiana. Ganadora de la Cámara de Oro a mejor ópera prima y el Premio del Público en la Quincena de Cineastas de Cannes 2025.",https://www.youtube.com/embed/IDd4-oiIrf4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/January/hd-1767954377.jpg
No hay otra opción (VOSE),05,21:45,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/No-hay-otra-opcion-(V.O.S.E.),,,,,,,,
Father Mother Sister Brother (VOSE),03,22:15,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Father-Mother-Sister-Brother-(V.O.S.E.),Father Mother Sister Brother,Jim Jarmusch,110 min.,USA,"Tom Waits, Cate Blanchett, Adam Driver, Vicky Krieps, Charlotte Rampling","Tres historias sobre relaciones distantes entre padres e hijos. Todas tienen lugar en la actualidad, pero cada una en un país diferente. La película es estudio de personajes tranquilo, observacional y sin prejuicios. Una comedia, pero entretejida con hilos de melancolía.",https://www.youtube.com/embed/Len_6SnoL5c?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2025/November/hd-1763980319.jpg
La tarta del presidente (VOSE),03,20:20,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/La-tarta-del-presidente-(V.O.S.E.),Mamlaket Al-Qasab,Hasan Hadi,105 min.,"Irak, EUA","Banin Ahmad Nayef, Sajad Mohamad Qasem, Waheed Thabet Khreibat","Irak, años noventa. La pequeña Lamia recibe la misión de preparar una tarta con motivo del cumpleaños del presidente Sadam Huseín. Acompañada por su amigo Saeed y con su gallo Hindi a cuestas, recorre Bagdad en busca de los ingredientes, viviendo una serie de peripecias que alterarán por completo su vida cotidiana. Ganadora de la Cámara de Oro a mejor ópera prima y el Premio del Público en la Quincena de Cineastas de Cannes 2025.",https://www.youtube.com/embed/IDd4-oiIrf4?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/January/hd-1767954377.jpg
No hay otra opción (VOSE),05,19:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/No-hay-otra-opcion-(V.O.S.E.),,,,,,,,
Hamnet (VOSE),02,19:30,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Hamnet-(V.O.S.E.),Hamnet,Chloé Zhao,125 min.,USA,"Jessie Buckley, Paul Mescal, Emily Watson, Joe Alwyn, Jacobi Jupe, Sam Woolf","HAMNET, de la oscarizada directora y guionista Chloé Zhao, nos descubre la poderosa historia de amor y pérdida que inspiró la creación de Hamlet, la intemporal obra maestra de Shakespeare.",https://www.youtube.com/embed/2cSoi8W3btM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/January/hd-1769672324-12844.jpg
Tranvía a la Malvarrosa,01,21:30,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Tranvia-a-la-Malvarrosa,,,,,,,,
Hamnet (VOSE),02,17:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Hamnet-(V.O.S.E.),Hamnet,Chloé Zhao,125 min.,USA,"Jessie Buckley, Paul Mescal, Emily Watson, Joe Alwyn, Jacobi Jupe, Sam Woolf","HAMNET, de la oscarizada directora y guionista Chloé Zhao, nos descubre la poderosa historia de amor y pérdida que inspiró la creación de Hamlet, la intemporal obra maestra de Shakespeare.",https://www.youtube.com/embed/2cSoi8W3btM?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/January/hd-1769672324-12844.jpg
"¡Ay, Carmela!",01,16:30,2026-02-16,Golem Madrid,,,,,,,,,
La misteriosa mirada del flamenco,03,18:15,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/La-misteriosa-mirada-del-flamenco,La misteriosa mirada del flamenco,Diego Céspedes,108 min.,CHILE,"Tamara Cortés, Matías Catalán, Paula Dinamarca, Claudia Cabezas, Luis Dubó","A principios de los 80, en un hostil pueblo minero del desierto chileno, Lidia, una niña de 11 años, crece dentro de una cariñosa familia queer. Se les culpa de tener una misteriosa enfermedad que, según dicen en el pueblo, se transmite a través de una sola mirada, cuando un hombre se enamora de otro. En este western moderno, Lidia emprende una búsqueda de venganza donde el amor podría ser el verdadero peligro y la familia su único refugio.",https://www.youtube.com/embed/9gooE2IX08I?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2025/December/hd-1765366551.jpg
Belle Epoque,01,19:00,2026-02-16,Golem Madrid,https://golem.es/golem/pelicula/Belle-Epoque,,,,,,,,
