Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
Cónclave (VOSE),,120,01,22:00,2025-01-02,Golem Madrid
La luz que imaginamos (VOSE),,117,02,22:00,2025-01-02,Golem Madrid
Queer (VOSE),,137,05,19:00,2025-01-02,Golem Madrid
"Oh, Canada (VOSE)",,91,03,17:00,2025-01-02,Golem Madrid
Queer (VOSE),,137,05,16:15,2025-01-02,Golem Madrid
Parthenope (VOSE),,137,04,21:45,2025-01-02,Golem Madrid
La luz que imaginamos (VOSE),,117,02,19:30,2025-01-02,Golem Madrid
Parthenope (VOSE),,137,04,19:00,2025-01-02,Golem Madrid
Cónclave (VOSE),,120,01,19:30,2025-01-02,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-01-02,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-02,Golem Madrid
Emilia Pérez,,132,01,16:30,2025-01-02,Golem Madrid
Parthenope (VOSE),,137,04,16:15,2025-01-02,Golem Madrid
La luz que imaginamos (VOSE),,117,02,17:00,2025-01-02,Golem Madrid
Queer (VOSE),,137,05,21:45,2025-01-02,Golem Madrid
Parthenope (VOSE),,137,04,16:15,2025-01-03,Golem Madrid
Parthenope (VOSE),,137,04,19:00,2025-01-03,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-03,Golem Madrid
La luz que imaginamos (VOSE),,117,02,22:00,2025-01-03,Golem Madrid
Queer (VOSE),,137,05,21:45,2025-01-03,Golem Madrid
Parthenope (VOSE),,137,04,21:45,2025-01-03,Golem Madrid
Queer (VOSE),,137,05,19:00,2025-01-03,Golem Madrid
Cónclave (VOSE),,120,01,22:00,2025-01-03,Golem Madrid
Emilia Pérez,,132,01,16:30,2025-01-03,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-01-03,Golem Madrid
Queer (VOSE),,137,05,16:15,2025-01-03,Golem Madrid
Cónclave (VOSE),,120,01,19:30,2025-01-03,Golem Madrid
La luz que imaginamos (VOSE),,117,02,19:30,2025-01-03,Golem Madrid
La luz que imaginamos (VOSE),,117,02,17:00,2025-01-03,Golem Madrid
"Oh, Canada (VOSE)",,91,03,17:00,2025-01-03,Golem Madrid
Queer (VOSE),,137,05,21:45,2025-01-04,Golem Madrid
La luz que imaginamos (VOSE),,117,02,22:00,2025-01-04,Golem Madrid
Cónclave (VOSE),,120,01,19:30,2025-01-04,Golem Madrid
Parthenope (VOSE),,137,04,21:45,2025-01-04,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-01-04,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-04,Golem Madrid
Cónclave (VOSE),,120,01,22:00,2025-01-04,Golem Madrid
"Oh, Canada (VOSE)",,91,03,17:00,2025-01-04,Golem Madrid
Emilia Pérez,,132,01,16:30,2025-01-04,Golem Madrid
La luz que imaginamos (VOSE),,117,02,17:00,2025-01-04,Golem Madrid
Queer (VOSE),,137,05,16:15,2025-01-04,Golem Madrid
Queer (VOSE),,137,05,19:00,2025-01-04,Golem Madrid
Parthenope (VOSE),,137,04,19:00,2025-01-04,Golem Madrid
Parthenope (VOSE),,137,04,16:15,2025-01-04,Golem Madrid
La luz que imaginamos (VOSE),,117,02,19:30,2025-01-04,Golem Madrid
Queer (VOSE),,137,05,19:00,2025-01-05,Golem Madrid
"Oh, Canada (VOSE)",,91,03,17:00,2025-01-05,Golem Madrid
Parthenope (VOSE),,137,04,21:45,2025-01-05,Golem Madrid
La luz que imaginamos (VOSE),,117,02,17:00,2025-01-05,Golem Madrid
Parthenope (VOSE),,137,04,16:15,2025-01-05,Golem Madrid
Emilia Pérez,,132,03,21:45,2025-01-05,Golem Madrid
Queer (VOSE),,137,05,21:45,2025-01-05,Golem Madrid
Cónclave (VOSE),,120,01,22:00,2025-01-05,Golem Madrid
Queer (VOSE),,137,05,16:15,2025-01-05,Golem Madrid
La luz que imaginamos (VOSE),,117,02,22:00,2025-01-05,Golem Madrid
Anora (VOSE),,139,03,19:00,2025-01-05,Golem Madrid
Cónclave (VOSE),,120,01,19:30,2025-01-05,Golem Madrid
Emilia Pérez,,132,01,16:30,2025-01-05,Golem Madrid
Parthenope (VOSE),,137,04,19:00,2025-01-05,Golem Madrid
La luz que imaginamos (VOSE),,117,02,19:30,2025-01-05,Golem Madrid
