Pelicula,Sala,Horario,Fecha,Cine,Pelicula_URL,Titulo_Original,Director,Duración,Nacionalidad,Reparto,Sinopsis,Trailer_URL,Poster_URL
Sidosa,05,22:15,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/Sidosa,Sidosa,"Lluís Galter, Màrius Sánchez",94 min.,ESPAÃA,DOCUMENTAL,"Todo el mundo le ha dicho que no lo haga, pero Eduardo Casanova ya no puede más y necesita contarlo. Jordi Évole le acompaña en la revelación más íntima y trascendente de su vida: Eduardo tiene VIH desde los 17 años. Pero antes de contarlo públicamente, necesita hablarlo con algunas de las personas que le han acompañado durante estos años: su doctor, su enfermera, sus amigos. Un viaje catártico con humor, emoción, memoria y cine, que nos permite entender la realidad de las personas con VIH hoy en día y conocer mejor quién es Eduardo Casanova.",https://www.youtube.com/embed/Fx0IXMh-Ye0?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/April/hd-1775726530.jpg
Mi querida señorita,01,16:05,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/Mi-querida-senorita,,,,,,,,
El sonido de la caída (VOSE),05,19:30,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/El-sonido-de-la-caida-(V.O.S.E.),,,,,,,,
La buena hija,04,16:10,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/La-buena-hija,La buena hija,Júlia de Paz Solvas,103 min.,ESPAÃA,"Kiara Arancibia, Janet Novás, Julián Villagrán, Petra Martínez","Tras la separación de sus padres, Carmela y su madre se mudan a casa de la abuela. Mientras trata de adaptarse a su nueva situación, Carmela anhela pasar más tiempo en casa de su padre, un artista plástico a quién admira e idolatra. La sombra de este llevará a las tres generaciones de mujeres de la familia a decidir el futuro que merecen.",https://www.youtube.com/embed/81GJr4iu4Ww?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/March/hd-1773243921.jpg
Celebrando el día de la visibilidad lésbica: Love Letters + Azkena (VOSE),02,21:00,2026-04-26,Golem Madrid,,,,,,,,,
La habitación de Mariana (VOSE),03,16:30,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/La-habitacion-de-Mariana-(V.O.S.E.),,,,,,,,
Altas capacidades,04,20:20,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
La habitación de Mariana (VOSE),03,19:00,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/La-habitacion-de-Mariana-(V.O.S.E.),,,,,,,,
La buena hija,01,22:15,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/La-buena-hija,La buena hija,Júlia de Paz Solvas,103 min.,ESPAÃA,"Kiara Arancibia, Janet Novás, Julián Villagrán, Petra Martínez","Tras la separación de sus padres, Carmela y su madre se mudan a casa de la abuela. Mientras trata de adaptarse a su nueva situación, Carmela anhela pasar más tiempo en casa de su padre, un artista plástico a quién admira e idolatra. La sombra de este llevará a las tres generaciones de mujeres de la familia a decidir el futuro que merecen.",https://www.youtube.com/embed/81GJr4iu4Ww?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/March/hd-1773243921.jpg
Altas capacidades,04,22:15,2026-04-26,Golem Madrid,https://golem.es/golem/pelicula/Altas-capacidades,Altas capacidades,Víctor García León,101 min.,ESPAÃA,"Marián Álvarez, Israel Elejalde, Juan Diego Botto, Pilar Castro, Natalia Reyes, Suso Nanclares","Alicia y Gonzalo, una pareja de clase media, se encuentran con la oportunidad de matricular a su hijo Fer en un colegio laico de élite. Para los padres supone asomar la cabeza en la clase alta, nuevas amistades, mayores ingresos, ventajas incontables. Dicen hacerlo por su hijo. En esta maravillosa contradicción entre los miedos y los principios morales, las aspiraciones de la pareja se llevarán por delante lo que, hasta entonces, creían incuestionable.",https://www.youtube.com/embed/E3UWcrPLnhc?controls=0&modestbranding=1&rel=0&showinfo=0&iv_load_policy=3,https://golem.es/golem/carteles/2026/February/hd-1770807106-12941.jpg
