Pelicula,Director,Duración,Sala,Horario,Fecha,Cine
28 AÑOS DESPUÉS,Danny Boyle,114,04,16:00,2025-06-28,Renoir Princesa
28 AÑOS DESPUÉS,Danny Boyle,114,04,18:10,2025-06-28,Renoir Princesa
28 AÑOS DESPUÉS,Danny Boyle,114,04,20:20,2025-06-28,Renoir Princesa
28 AÑOS DESPUÉS,Danny Boyle,114,04,22:30,2025-06-28,Renoir Princesa
BAJO UN VOLCÁN,Martín Cuervo,92,11,16:00,2025-06-28,Renoir Princesa
BORAU Y EL CINE,Germán Roda,76,08,18:15,2025-06-28,Renoir Princesa
CÓMO ENTRENAR A TU DRAGÓN,Dean Deblois,125,07,16:00,2025-06-28,Renoir Princesa
CÓMO ENTRENAR A TU DRAGÓN,Dean Deblois,125,10,17:50,2025-06-28,Renoir Princesa
CÓMO ENTRENAR A TU DRAGÓN,Dean Deblois,125,07,20:00,2025-06-28,Renoir Princesa
CÓMO ENTRENAR A TU DRAGÓN,Dean Deblois,125,08,22:15,2025-06-28,Renoir Princesa
F1: LA PELÍCULA,Joseph Kosinski,155,03,16:00,2025-06-28,Renoir Princesa
F1: LA PELÍCULA,Joseph Kosinski,155,06,17:40,2025-06-28,Renoir Princesa
F1: LA PELÍCULA,Joseph Kosinski,155,06,20:30,2025-06-28,Renoir Princesa
F1: LA PELÍCULA,Joseph Kosinski,155,02,21:45,2025-06-28,Renoir Princesa
LA RECETA PERFECTA,Louise Courvoisier,90,02,16:00,2025-06-28,Renoir Princesa
LA RECETA PERFECTA,Louise Courvoisier,90,03,18:50,2025-06-28,Renoir Princesa
LA RECETA PERFECTA,Louise Courvoisier,90,03,20:30,2025-06-28,Renoir Princesa
LA RECETA PERFECTA,Louise Courvoisier,90,03,22:20,2025-06-28,Renoir Princesa
LO QUE QUISIMOS SER,Alejandro Agresti,90,06,16:00,2025-06-28,Renoir Princesa
LO QUE QUISIMOS SER,Alejandro Agresti,90,02,18:00,2025-06-28,Renoir Princesa
LO QUE QUISIMOS SER,Alejandro Agresti,90,02,20:00,2025-06-28,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,08,19:45,2025-06-28,Renoir Princesa
LOS PECADORES,Ryan Coogler,137,10,21:50,2025-06-28,Renoir Princesa
M3GAN 2.0,Gerard Johnstone,119,08,16:00,2025-06-28,Renoir Princesa
M3GAN 2.0,Gerard Johnstone,119,11,17:45,2025-06-28,Renoir Princesa
M3GAN 2.0,Gerard Johnstone,119,11,20:00,2025-06-28,Renoir Princesa
M3GAN 2.0,Gerard Johnstone,119,11,22:15,2025-06-28,Renoir Princesa
SIRAT,Óliver Laxe,120,09,16:00,2025-06-28,Renoir Princesa
SIRAT,Óliver Laxe,120,05,17:00,2025-06-28,Renoir Princesa
SIRAT,Óliver Laxe,120,09,18:10,2025-06-28,Renoir Princesa
SIRAT,Óliver Laxe,120,05,19:15,2025-06-28,Renoir Princesa
SIRAT,Óliver Laxe,120,09,20:20,2025-06-28,Renoir Princesa
SIRAT,Óliver Laxe,120,05,21:30,2025-06-28,Renoir Princesa
SIRAT,Óliver Laxe,120,09,22:30,2025-06-28,Renoir Princesa
VOTEMOS,Santiago Requejo,87,10,16:00,2025-06-28,Renoir Princesa
VOTEMOS,Santiago Requejo,87,07,18:20,2025-06-28,Renoir Princesa
VOTEMOS,Santiago Requejo,87,10,20:10,2025-06-28,Renoir Princesa
VOTEMOS,Santiago Requejo,87,07,22:20,2025-06-28,Renoir Princesa
28 AÑOS DESPUÉS,Danny Boyle,114,04,16:00,2025-06-29,Renoir Princesa
28 AÑOS DESPUÉS,Danny Boyle,114,04,18:10,2025-06-29,Renoir Princesa
28 AÑOS DESPUÉS,Danny Boyle,114,04,20:20,2025-06-29,Renoir Princesa
28 AÑOS DESPUÉS,Danny Boyle,114,04,22:30,2025-06-29,Renoir Princesa
BAJO UN VOLCÁN,Martín Cuervo,92,11,16:00,2025-06-29,Renoir Princesa
BORAU Y EL CINE,Germán Roda,76,08,18:15,2025-06-29,Renoir Princesa
CÓMO ENTRENAR A TU DRAGÓN,Dean Deblois,125,07,16:00,2025-06-29,Renoir Princesa
CÓMO ENTRENAR A TU DRAGÓN,Dean Deblois,125,10,17:50,2025-06-29,Renoir Princesa
CÓMO ENTRENAR A TU DRAGÓN,Dean Deblois,125,07,20:00,2025-06-29,Renoir Princesa
CÓMO ENTRENAR A TU DRAGÓN,Dean Deblois,125,08,22:15,2025-06-29,Renoir Princesa
F1: LA PELÍCULA,Joseph Kosinski,155,03,16:00,2025-06-29,Renoir Princesa
